freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.102e+01,4.584e+01,8.152e+02,8.721e+02
1.5,2.541e+01,4.367e+01,4.906e+02,5.597e+02
3.1,2.581e+01,2.181e+01,5.164e+01,9.925e+01
4.6,2.222e+01,2.099e+01,3.751e+02,4.183e+02
6.1,2.437e+01,2.380e+01,1.314e+03,1.362e+03
7.7,2.403e+01,2.304e+01,2.236e+03,2.283e+03
9.2,2.545e+01,2.589e+01,3.390e+03,3.441e+03
10.7,2.550e+01,2.585e+01,4.755e+03,4.806e+03
12.3,2.487e+01,2.335e+01,6.671e+03,6.719e+03
13.8,3.008e+01,2.285e+01,9.309e+03,9.362e+03
15.3,3.054e+01,2.149e+01,1.247e+04,1.252e+04
16.9,3.356e+01,2.324e+01,1.671e+04,1.676e+04
18.4,3.765e+01,2.542e+01,2.280e+04,2.286e+04
19.9,4.205e+01,3.290e+01,3.149e+04,3.156e+04
21.5,4.310e+01,4.593e+01,4.499e+04,4.508e+04
23.0,7.420e+01,6.996e+01,6.241e+04,6.255e+04
24.5,1.319e+02,9.501e+01,7.287e+04,7.309e+04
26.1,1.094e+02,9.662e+01,7.120e+04,7.141e+04
27.6,6.835e+01,9.987e+01,7.986e+04,8.003e+04
29.1,7.935e+01,1.901e+02,1.316e+05,1.318e+05
30.7,1.801e+02,5.418e+02,2.650e+05,2.657e+05
32.2,2.744e+02,8.749e+02,3.179e+05,3.191e+05
33.7,3.429e+02,1.165e+03,3.263e+05,3.278e+05
35.3,6.726e+02,2.844e+03,6.294e+05,6.329e+05
36.8,1.398e+03,7.659e+03,1.387e+06,1.396e+06
38.3,2.313e+03,1.288e+04,1.921e+06,1.936e+06
39.9,2.918e+03,1.386e+04,1.807e+06,1.824e+06
41.4,2.988e+03,1.354e+04,1.591e+06,1.607e+06
42.9,2.862e+03,1.256e+04,1.374e+06,1.389e+06
44.5,2.523e+03,1.051e+04,1.121e+06,1.134e+06
46.0,2.189e+03,8.891e+03,9.040e+05,9.151e+05
47.5,1.964e+03,8.383e+03,7.384e+05,7.487e+05
49.1,1.874e+03,8.610e+03,6.215e+05,6.320e+05
50.6,1.984e+03,8.709e+03,5.551e+05,5.658e+05
52.1,2.062e+03,8.310e+03,5.121e+05,5.225e+05
53.7,2.309e+03,8.194e+03,5.071e+05,5.176e+05
55.2,2.972e+03,9.283e+03,5.200e+05,5.322e+05
56.7,4.319e+03,2.474e+04,5.223e+05,5.513e+05
58.3,5.372e+03,4.862e+04,4.667e+05,5.207e+05
59.8,7.818e+03,7.409e+04,5.034e+05,5.853e+05
61.3,8.985e+03,8.894e+04,4.408e+05,5.387e+05
62.9,9.453e+03,1.001e+05,3.502e+05,4.598e+05
64.4,9.551e+03,8.809e+04,2.600e+05,3.577e+05
65.9,7.098e+03,5.868e+04,1.599e+05,2.257e+05
67.5,4.552e+03,3.410e+04,8.571e+04,1.244e+05
69.0,2.975e+03,2.480e+04,4.970e+04,7.747e+04
70.5,2.020e+03,2.018e+04,3.229e+04,5.449e+04
72.1,1.668e+03,1.512e+04,2.084e+04,3.763e+04
73.6,2.336e+03,1.334e+04,1.609e+04,3.177e+04
75.1,3.681e+03,1.613e+04,1.892e+04,3.873e+04
76.7,4.971e+03,2.505e+04,2.690e+04,5.691e+04
78.2,2.882e+03,3.744e+04,3.362e+04,7.395e+04
79.7,1.324e+03,6.669e+04,4.509e+04,1.131e+05
81.3,2.162e+03,1.284e+05,6.461e+04,1.951e+05
82.8,3.427e+03,2.337e+05,8.836e+04,3.255e+05
84.3,4.672e+03,2.719e+05,8.908e+04,3.657e+05
85.9,4.947e+03,2.513e+05,7.854e+04,3.348e+05
87.4,4.138e+03,2.215e+05,6.359e+04,2.893e+05
88.9,3.692e+03,1.712e+05,4.244e+04,2.174e+05
90.5,3.519e+03,1.241e+05,2.715e+04,1.547e+05
92.0,3.122e+03,9.780e+04,1.979e+04,1.207e+05
93.5,2.517e+03,8.836e+04,1.513e+04,1.060e+05
95.1,1.879e+03,6.840e+04,9.525e+03,7.980e+04
96.6,1.743e+03,5.470e+04,6.235e+03,6.268e+04
98.1,1.885e+03,4.397e+04,4.094e+03,4.995e+04
99.7,2.219e+03,3.575e+04,2.719e+03,4.069e+04
101.2,2.500e+03,3.060e+04,1.836e+03,3.494e+04
102.7,2.427e+03,2.767e+04,1.149e+03,3.124e+04
104.3,1.779e+03,2.685e+04,7.753e+02,2.940e+04
105.8,1.729e+03,2.597e+04,9.663e+02,2.866e+04
107.3,2.854e+03,2.468e+04,2.163e+03,2.970e+04
108.9,3.820e+03,2.041e+04,5.151e+03,2.938e+04
110.4,3.808e+03,1.360e+04,8.157e+03,2.556e+04
111.9,4.067e+03,8.332e+03,9.598e+03,2.200e+04
113.5,4.711e+03,5.713e+03,1.039e+04,2.082e+04
115.0,5.351e+03,4.912e+03,1.125e+04,2.151e+04
116.5,4.910e+03,3.880e+03,1.042e+04,1.921e+04
118.1,7.533e+03,4.159e+03,1.005e+04,2.174e+04
119.6,1.129e+04,6.090e+03,1.132e+04,2.870e+04
121.1,1.201e+04,7.292e+03,1.121e+04,3.052e+04
122.7,1.192e+04,8.520e+03,1.094e+04,3.138e+04
124.2,1.003e+04,1.012e+04,1.054e+04,3.068e+04
125.7,8.443e+03,1.206e+04,9.762e+03,3.026e+04
127.3,8.346e+03,1.303e+04,7.954e+03,2.933e+04
128.8,8.863e+03,1.379e+04,6.661e+03,2.932e+04
130.3,8.251e+03,1.362e+04,5.923e+03,2.779e+04
131.9,7.661e+03,1.049e+04,4.170e+03,2.232e+04
133.4,4.453e+03,4.059e+03,1.881e+03,1.039e+04
134.9,2.315e+03,7.673e+02,8.546e+02,3.937e+03
136.5,1.793e+03,4.917e+02,6.235e+02,2.908e+03
138.0,1.395e+03,3.361e+02,4.058e+02,2.137e+03
139.5,9.332e+02,3.222e+02,3.184e+02,1.574e+03
141.1,8.549e+02,3.965e+02,2.542e+02,1.506e+03
142.6,1.007e+03,4.723e+02,2.462e+02,1.725e+03
144.1,1.430e+03,6.281e+02,2.587e+02,2.317e+03
145.7,1.883e+03,6.525e+02,2.973e+02,2.833e+03
147.2,3.063e+03,4.666e+02,3.749e+02,3.905e+03
148.7,6.754e+03,4.496e+02,5.499e+02,7.753e+03
150.3,9.650e+03,9.191e+02,7.970e+02,1.137e+04
151.8,1.065e+04,1.695e+03,1.044e+03,1.339e+04
153.3,1.356e+04,2.124e+03,1.146e+03,1.683e+04
154.9,2.151e+04,2.025e+03,1.286e+03,2.482e+04
156.4,3.410e+04,2.423e+03,1.754e+03,3.828e+04
157.9,4.113e+04,4.101e+03,2.270e+03,4.750e+04
159.5,4.035e+04,6.770e+03,2.291e+03,4.941e+04
161.0,3.598e+04,8.030e+03,1.911e+03,4.592e+04
162.5,4.103e+04,8.755e+03,1.782e+03,5.157e+04
164.1,7.381e+04,1.089e+04,4.281e+03,8.898e+04
165.6,6.398e+04,8.636e+03,3.679e+03,7.629e+04
167.1,3.252e+04,4.398e+03,1.362e+03,3.828e+04
168.7,2.911e+04,2.326e+03,8.242e+02,3.226e+04
170.2,2.740e+04,1.635e+03,6.001e+02,2.964e+04
171.7,2.444e+04,1.595e+03,4.821e+02,2.652e+04
173.3,2.050e+04,1.700e+03,5.128e+02,2.271e+04
174.8,1.650e+04,1.838e+03,5.226e+02,1.886e+04
176.3,1.314e+04,1.215e+03,3.685e+02,1.472e+04
177.9,1.232e+04,1.346e+03,3.259e+02,1.399e+04
179.4,1.127e+04,1.343e+03,3.082e+02,1.292e+04
180.9,1.057e+04,1.308e+03,4.316e+02,1.230e+04
182.5,8.971e+03,1.272e+03,6.176e+02,1.086e+04
184.0,7.113e+03,1.115e+03,6.477e+02,8.876e+03
185.5,6.916e+03,1.162e+03,6.455e+02,8.723e+03
187.1,5.639e+03,9.738e+02,6.609e+02,7.274e+03
188.6,4.754e+03,9.440e+02,8.097e+02,6.507e+03
190.1,4.054e+03,1.115e+03,1.050e+03,6.219e+03
191.7,3.898e+03,1.591e+03,1.244e+03,6.732e+03
193.2,3.901e+03,2.114e+03,1.496e+03,7.510e+03
194.7,4.458e+03,2.388e+03,2.137e+03,8.983e+03
196.3,5.300e+03,2.506e+03,2.664e+03,1.047e+04
197.8,5.005e+03,2.668e+03,2.810e+03,1.048e+04
199.3,4.587e+03,2.973e+03,2.916e+03,1.048e+04
