freq,psd_x,psd_y,psd_z,psd_xyz
0.0,4.424e+02,1.756e+01,1.818e+01,4.781e+02
1.5,3.015e+02,2.798e+01,3.616e+01,3.656e+02
3.1,1.001e+02,2.194e+01,3.203e+01,1.541e+02
4.6,3.860e+02,2.093e+01,3.201e+01,4.389e+02
6.1,1.249e+03,2.014e+01,2.948e+01,1.298e+03
7.7,2.009e+03,2.061e+01,2.878e+01,2.058e+03
9.2,2.876e+03,2.023e+01,3.156e+01,2.927e+03
10.7,3.944e+03,2.160e+01,2.928e+01,3.995e+03
12.2,5.158e+03,2.091e+01,2.817e+01,5.208e+03
13.8,6.780e+03,2.062e+01,2.930e+01,6.830e+03
15.3,9.098e+03,2.265e+01,2.988e+01,9.150e+03
16.8,1.219e+04,2.430e+01,3.313e+01,1.225e+04
18.4,1.423e+04,2.462e+01,3.572e+01,1.429e+04
19.9,1.508e+04,2.529e+01,3.824e+01,1.515e+04
21.4,1.813e+04,2.502e+01,4.868e+01,1.820e+04
23.0,2.289e+04,2.708e+01,6.782e+01,2.298e+04
24.5,2.436e+04,2.814e+01,8.218e+01,2.447e+04
26.0,2.422e+04,2.977e+01,7.915e+01,2.433e+04
27.6,2.965e+04,3.482e+01,1.120e+02,2.980e+04
29.1,3.684e+04,3.830e+01,1.664e+02,3.704e+04
30.6,4.465e+04,4.065e+01,2.545e+02,4.495e+04
32.1,5.153e+04,4.123e+01,3.833e+02,5.195e+04
33.7,6.547e+04,4.673e+01,4.230e+02,6.594e+04
35.2,8.069e+04,5.491e+01,5.239e+02,8.127e+04
36.7,9.968e+04,5.721e+01,9.868e+02,1.007e+05
38.3,1.212e+05,6.657e+01,1.845e+03,1.231e+05
39.8,1.513e+05,1.096e+02,3.957e+03,1.553e+05
41.3,2.008e+05,2.711e+02,8.328e+03,2.094e+05
42.9,2.776e+05,5.894e+02,1.058e+04,2.887e+05
44.4,3.738e+05,9.535e+02,8.425e+03,3.832e+05
45.9,5.469e+05,1.628e+03,6.221e+03,5.547e+05
47.5,7.861e+05,2.194e+03,5.736e+03,7.941e+05
49.0,9.775e+05,1.747e+03,6.561e+03,9.858e+05
50.5,1.196e+06,1.519e+03,7.774e+03,1.205e+06
52.1,1.364e+06,1.858e+03,8.837e+03,1.375e+06
53.6,1.276e+06,1.732e+03,9.559e+03,1.288e+06
55.1,1.242e+06,1.730e+03,1.470e+04,1.258e+06
56.6,1.017e+06,2.092e+03,2.046e+04,1.040e+06
58.2,7.604e+05,3.050e+03,2.386e+04,7.873e+05
59.7,6.055e+05,3.516e+03,2.729e+04,6.363e+05
61.2,4.120e+05,3.353e+03,2.539e+04,4.407e+05
62.8,2.759e+05,3.208e+03,2.395e+04,3.031e+05
64.3,1.741e+05,2.181e+03,1.757e+04,1.939e+05
65.8,1.141e+05,1.152e+03,1.091e+04,1.262e+05
67.4,8.917e+04,7.160e+02,6.609e+03,9.650e+04
68.9,6.252e+04,3.984e+02,6.245e+03,6.917e+04
70.4,4.427e+04,4.378e+02,5.360e+03,5.006e+04
72.0,3.190e+04,1.050e+03,3.354e+03,3.630e+04
73.5,3.496e+04,2.441e+03,1.875e+03,3.928e+04
75.0,6.519e+04,6.221e+03,7.511e+02,7.216e+04
76.5,1.229e+05,1.327e+04,3.715e+02,1.366e+05
78.1,1.628e+05,2.397e+04,1.172e+03,1.879e+05
79.6,2.258e+05,5.569e+04,7.797e+03,2.893e+05
81.1,2.659e+05,9.385e+04,2.172e+04,3.814e+05
82.7,2.697e+05,1.047e+05,3.200e+04,4.064e+05
84.2,2.418e+05,9.693e+04,3.586e+04,3.746e+05
85.7,2.540e+05,1.087e+05,5.448e+04,4.172e+05
87.3,2.419e+05,9.660e+04,5.650e+04,3.951e+05
88.8,1.882e+05,6.838e+04,4.274e+04,2.994e+05
90.3,1.804e+05,5.787e+04,3.717e+04,2.754e+05
91.9,1.710e+05,4.755e+04,3.214e+04,2.507e+05
93.4,1.682e+05,3.395e+04,2.503e+04,2.272e+05
94.9,1.493e+05,2.350e+04,1.726e+04,1.900e+05
96.4,1.203e+05,1.757e+04,1.149e+04,1.493e+05
98.0,1.011e+05,1.266e+04,8.315e+03,1.221e+05
99.5,8.348e+04,9.135e+03,6.010e+03,9.862e+04
101.0,5.976e+04,7.405e+03,3.672e+03,7.083e+04
102.6,4.949e+04,7.470e+03,3.044e+03,6.000e+04
104.1,3.949e+04,5.771e+03,2.930e+03,4.819e+04
105.6,3.498e+04,4.640e+03,2.759e+03,4.237e+04
107.2,4.337e+04,4.405e+03,2.787e+03,5.056e+04
