freq,psd_x,psd_y,psd_z,psd_xyz
0.0,5.264e+01,3.854e+01,5.856e+02,6.768e+02
1.5,4.146e+01,3.942e+01,3.514e+02,4.323e+02
3.1,1.943e+01,2.408e+01,5.350e+01,9.701e+01
4.6,2.061e+01,2.442e+01,3.968e+02,4.418e+02
6.2,1.761e+01,2.450e+01,1.329e+03,1.371e+03
7.7,1.857e+01,2.875e+01,2.220e+03,2.267e+03
9.3,2.103e+01,2.904e+01,3.360e+03,3.410e+03
10.8,1.933e+01,2.819e+01,4.863e+03,4.910e+03
12.4,2.074e+01,3.196e+01,7.047e+03,7.100e+03
13.9,2.133e+01,3.775e+01,9.840e+03,9.899e+03
15.5,2.082e+01,4.236e+01,1.297e+04,1.304e+04
17.0,2.066e+01,4.958e+01,1.684e+04,1.691e+04
18.6,2.232e+01,6.802e+01,2.403e+04,2.412e+04
20.1,2.598e+01,9.551e+01,3.203e+04,3.215e+04
21.7,2.621e+01,1.266e+02,4.339e+04,4.354e+04
23.2,4.323e+01,1.985e+02,6.006e+04,6.030e+04
24.8,1.062e+02,2.990e+02,8.404e+04,8.445e+04
26.3,1.603e+02,3.957e+02,9.854e+04,9.909e+04
27.8,1.449e+02,4.658e+02,1.072e+05,1.078e+05
29.4,3.423e+02,9.566e+02,2.036e+05,2.049e+05
30.9,6.733e+02,1.788e+03,3.364e+05,3.389e+05
32.5,4.814e+02,1.701e+03,2.900e+05,2.922e+05
34.0,2.145e+02,1.449e+03,2.266e+05,2.283e+05
35.6,9.389e+02,2.243e+03,3.328e+05,3.360e+05
37.1,4.149e+03,4.909e+03,6.824e+05,6.915e+05
38.7,8.484e+03,8.162e+03,1.112e+06,1.129e+06
40.2,1.126e+04,8.727e+03,1.240e+06,1.260e+06
41.8,1.273e+04,7.009e+03,1.065e+06,1.085e+06
43.3,1.874e+04,5.096e+03,8.254e+05,8.492e+05
44.9,2.904e+04,3.596e+03,6.213e+05,6.539e+05
46.4,4.971e+04,2.777e+03,4.903e+05,5.427e+05
48.0,8.731e+04,2.972e+03,4.069e+05,4.972e+05
49.5,1.438e+05,6.041e+03,3.462e+05,4.961e+05
51.1,1.854e+05,1.306e+04,2.803e+05,4.788e+05
52.6,1.706e+05,1.852e+04,2.192e+05,4.083e+05
54.1,1.131e+05,2.042e+04,1.795e+05,3.130e+05
55.7,5.942e+04,2.286e+04,1.485e+05,2.307e+05
57.2,3.056e+04,2.563e+04,1.422e+05,1.984e+05
58.8,1.567e+04,2.893e+04,1.334e+05,1.780e+05
60.3,7.472e+03,3.272e+04,1.114e+05,1.516e+05
61.9,4.548e+03,3.320e+04,9.053e+04,1.283e+05
63.4,3.492e+03,2.867e+04,7.642e+04,1.086e+05
65.0,2.386e+03,2.377e+04,7.032e+04,9.648e+04
66.5,1.645e+03,2.099e+04,6.426e+04,8.689e+04
68.1,1.757e+03,1.936e+04,5.167e+04,7.279e+04
69.6,2.517e+03,1.785e+04,3.867e+04,5.903e+04
71.2,4.394e+03,1.537e+04,2.844e+04,4.820e+04
72.7,6.634e+03,1.694e+04,2.803e+04,5.160e+04
74.3,8.650e+03,2.274e+04,3.446e+04,6.584e+04
75.8,9.957e+03,3.137e+04,4.237e+04,8.370e+04
77.4,1.011e+04,3.728e+04,4.505e+04,9.244e+04
78.9,9.654e+03,3.990e+04,4.405e+04,9.361e+04
80.4,9.862e+03,4.339e+04,4.434e+04,9.759e+04
82.0,9.263e+03,5.055e+04,4.793e+04,1.077e+05
83.5,9.346e+03,6.595e+04,5.638e+04,1.317e+05
85.1,1.230e+04,1.002e+05,7.356e+04,1.861e+05
86.6,1.637e+04,1.581e+05,1.022e+05,2.767e+05
88.2,2.362e+04,2.107e+05,1.286e+05,3.630e+05
89.7,3.068e+04,2.478e+05,1.399e+05,4.183e+05
91.3,3.510e+04,2.290e+05,1.177e+05,3.818e+05
92.8,3.568e+04,1.628e+05,8.001e+04,2.785e+05
94.4,3.237e+04,1.106e+05,5.425e+04,1.972e+05
95.9,3.100e+04,7.587e+04,3.974e+04,1.466e+05
97.5,3.734e+04,5.371e+04,3.228e+04,1.233e+05
99.0,4.660e+04,3.974e+04,2.832e+04,1.147e+05
100.6,5.914e+04,3.077e+04,2.744e+04,1.173e+05
102.1,7.449e+04,2.499e+04,2.785e+04,1.273e+05
103.7,1.303e+05,2.043e+04,2.916e+04,1.799e+05
105.2,1.601e+05,1.683e+04,2.909e+04,2.060e+05
106.7,1.150e+05,1.423e+04,2.796e+04,1.572e+05
108.3,1.351e+05,1.219e+04,3.045e+04,1.777e+05
109.8,1.782e+05,1.191e+04,3.290e+04,2.230e+05
111.4,2.415e+05,1.124e+04,2.955e+04,2.822e+05
112.9,3.497e+05,1.109e+04,3.007e+04,3.908e+05
114.5,4.633e+05,1.147e+04,3.651e+04,5.113e+05
