freq,psd_x,psd_y,psd_z,psd_xyz
0.0,8.039e+02,6.150e+01,2.950e+01,8.949e+02
1.6,5.060e+02,1.651e+02,5.280e+01,7.239e+02
3.1,8.566e+01,1.666e+02,4.273e+01,2.950e+02
4.7,4.459e+02,2.159e+02,4.441e+01,7.062e+02
6.3,1.384e+03,2.076e+02,4.659e+01,1.638e+03
7.9,2.289e+03,2.066e+02,4.132e+01,2.537e+03
9.4,3.343e+03,2.124e+02,4.020e+01,3.596e+03
11.0,4.650e+03,1.722e+02,4.514e+01,4.867e+03
12.6,6.245e+03,1.799e+02,5.122e+01,6.477e+03
14.1,8.222e+03,1.877e+02,4.514e+01,8.454e+03
15.7,1.080e+04,1.721e+02,4.126e+01,1.101e+04
17.3,1.414e+04,1.661e+02,4.410e+01,1.435e+04
18.9,1.730e+04,1.903e+02,4.308e+01,1.753e+04
20.4,1.966e+04,2.035e+02,5.178e+01,1.991e+04
22.0,2.443e+04,2.226e+02,6.171e+01,2.472e+04
23.6,3.208e+04,1.823e+02,6.639e+01,3.233e+04
25.1,3.664e+04,1.721e+02,6.244e+01,3.687e+04
26.7,3.545e+04,1.953e+02,6.126e+01,3.571e+04
28.3,3.921e+04,1.768e+02,6.824e+01,3.945e+04
29.9,4.871e+04,1.834e+02,1.024e+02,4.899e+04
31.4,6.169e+04,1.819e+02,1.235e+02,6.200e+04
33.0,7.972e+04,1.796e+02,1.057e+02,8.001e+04
34.6,1.039e+05,1.976e+02,8.180e+01,1.042e+05
36.1,1.399e+05,1.893e+02,1.935e+02,1.403e+05
37.7,1.833e+05,2.027e+02,7.239e+02,1.842e+05
39.3,2.296e+05,2.164e+02,1.464e+03,2.313e+05
40.9,2.965e+05,2.264e+02,2.528e+03,2.992e+05
42.4,4.052e+05,2.088e+02,4.676e+03,4.101e+05
44.0,5.774e+05,2.432e+02,7.597e+03,5.853e+05
45.6,8.623e+05,2.960e+02,1.013e+04,8.727e+05
47.1,1.236e+06,6.457e+02,1.157e+04,1.248e+06
48.7,1.768e+06,1.008e+03,2.170e+04,1.791e+06
50.3,2.531e+06,1.237e+03,4.203e+04,2.574e+06
51.9,2.702e+06,2.268e+03,4.264e+04,2.747e+06
53.4,2.257e+06,5.540e+03,4.313e+04,2.305e+06
55.0,1.530e+06,9.526e+03,3.792e+04,1.578e+06
56.6,9.611e+05,1.090e+04,2.584e+04,9.978e+05
58.1,6.733e+05,7.513e+03,1.675e+04,6.976e+05
59.7,4.901e+05,4.252e+03,1.209e+04,5.065e+05
61.3,3.459e+05,2.353e+03,9.105e+03,3.573e+05
62.9,2.371e+05,1.508e+03,5.940e+03,2.445e+05
64.4,1.647e+05,1.190e+03,3.271e+03,1.692e+05
66.0,1.171e+05,1.407e+03,1.417e+03,1.200e+05
67.6,9.783e+04,2.245e+03,6.782e+02,1.008e+05
69.1,7.749e+04,1.707e+03,8.769e+02,8.008e+04
70.7,5.307e+04,1.824e+03,8.697e+02,5.576e+04
72.3,3.542e+04,2.783e+03,5.352e+02,3.874e+04
73.9,2.408e+04,3.887e+03,7.757e+02,2.875e+04
75.4,1.819e+04,5.851e+03,1.624e+03,2.566e+04
77.0,2.170e+04,1.011e+04,3.755e+03,3.557e+04
78.6,5.078e+04,1.577e+04,6.593e+03,7.314e+04
80.1,1.253e+05,2.330e+04,9.768e+03,1.584e+05
81.7,1.839e+05,3.373e+04,1.307e+04,2.307e+05
83.3,1.849e+05,4.074e+04,1.608e+04,2.417e+05
84.9,1.511e+05,3.672e+04,1.607e+04,2.039e+05
86.4,9.821e+04,3.179e+04,1.579e+04,1.458e+05
88.0,6.497e+04,2.841e+04,1.683e+04,1.102e+05
89.6,4.711e+04,2.406e+04,1.643e+04,8.760e+04
91.1,3.713e+04,2.096e+04,1.587e+04,7.396e+04
92.7,3.910e+04,1.982e+04,1.487e+04,7.379e+04
94.3,5.934e+04,2.464e+04,1.365e+04,9.764e+04
95.9,8.312e+04,3.497e+04,1.593e+04,1.340e+05
97.4,8.621e+04,4.130e+04,1.847e+04,1.460e+05
99.0,8.313e+04,4.532e+04,2.053e+04,1.490e+05
100.6,7.708e+04,4.800e+04,2.310e+04,1.482e+05
102.1,7.605e+04,4.439e+04,2.630e+04,1.467e+05
103.7,1.197e+05,4.585e+04,2.973e+04,1.952e+05
105.3,1.653e+05,5.597e+04,3.269e+04,2.539e+05
106.9,2.106e+05,6.022e+04,3.411e+04,3.050e+05
108.4,2.135e+05,5.789e+04,3.185e+04,3.033e+05
110.0,2.084e+05,6.202e+04,3.623e+04,3.066e+05
111.6,1.973e+05,6.291e+04,3.934e+04,2.996e+05
113.1,1.665e+05,6.050e+04,4.384e+04,2.709e+05
114.7,2.076e+05,5.531e+04,4.497e+04,3.079e+05
116.3,2.557e+05,4.832e+04,3.979e+04,3.438e+05
117.9,2.751e+05,4.529e+04,3.970e+04,3.601e+05
119.4,3.408e+05,4.739e+04,4.025e+04,4.285e+05
121.0,4.083e+05,4.879e+04,3.935e+04,4.965e+05
122.6,4.166e+05,5.288e+04,3.617e+04,5.057e+05
124.1,3.080e+05,6.210e+04,3.769e+04,4.077e+05
125.7,2.164e+05,6.015e+04,3.702e+04,3.136e+05
127.3,2.211e+05,5.902e+04,3.707e+04,3.172e+05
128.9,2.223e+05,6.518e+04,3.970e+04,3.272e+05
130.4,2.435e+05,7.728e+04,4.173e+04,3.625e+05
132.0,2.199e+05,8.126e+04,3.763e+04,3.388e+05
133.6,6.343e+04,4.298e+04,1.826e+04,1.247e+05
135.1,3.854e+03,2.505e+04,8.224e+03,3.712e+04
136.7,1.721e+03,2.585e+04,8.659e+03,3.623e+04
138.3,1.517e+03,3.111e+04,1.026e+04,4.289e+04
139.9,1.651e+03,4.055e+04,1.269e+04,5.489e+04
141.4,2.853e+03,4.530e+04,1.475e+04,6.290e+04
143.0,4.043e+03,4.561e+04,1.584e+04,6.549e+04
144.6,6.194e+03,4.397e+04,1.659e+04,6.675e+04
146.1,7.401e+03,4.551e+04,1.791e+04,7.083e+04
147.7,9.815e+03,4.521e+04,2.053e+04,7.555e+04
149.3,1.316e+04,4.196e+04,2.289e+04,7.801e+04
150.9,1.647e+04,4.363e+04,2.578e+04,8.587e+04
152.4,1.833e+04,4.034e+04,2.771e+04,8.638e+04
154.0,1.986e+04,3.293e+04,2.649e+04,7.928e+04
155.6,2.236e+04,2.927e+04,2.553e+04,7.716e+04
157.1,2.288e+04,2.705e+04,2.377e+04,7.370e+04
158.7,2.019e+04,2.606e+04,2.153e+04,6.778e+04
160.3,1.556e+04,2.539e+04,1.862e+04,5.957e+04
161.9,1.268e+04,2.284e+04,1.603e+04,5.155e+04
163.4,9.893e+03,1.877e+04,1.285e+04,4.151e+04
165.0,8.925e+03,1.600e+04,1.119e+04,3.612e+04
166.6,7.748e+03,1.387e+04,1.005e+04,3.166e+04
168.1,6.587e+03,1.244e+04,8.653e+03,2.768e+04
169.7,6.702e+03,1.109e+04,7.877e+03,2.567e+04
171.3,6.772e+03,9.292e+03,6.688e+03,2.275e+04
172.9,6.670e+03,8.185e+03,5.926e+03,2.078e+04
174.4,6.984e+03,7.139e+03,5.620e+03,1.974e+04
176.0,6.708e+03,6.709e+03,5.024e+03,1.844e+04
177.6,6.399e+03,6.606e+03,4.395e+03,1.740e+04
179.1,6.900e+03,6.404e+03,4.019e+03,1.732e+04
180.7,7.565e+03,6.719e+03,4.131e+03,1.841e+04
182.3,6.960e+03,6.604e+03,3.842e+03,1.741e+04
183.9,6.153e+03,6.060e+03,3.482e+03,1.569e+04
185.4,5.258e+03,5.630e+03,3.023e+03,1.391e+04
187.0,4.540e+03,4.929e+03,2.672e+03,1.214e+04
188.6,4.225e+03,4.738e+03,2.613e+03,1.158e+04
190.1,3.794e+03,4.803e+03,2.759e+03,1.136e+04
