freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.140e+01,4.369e+01,8.198e+02,8.749e+02
1.5,2.046e+01,4.038e+01,4.919e+02,5.527e+02
3.1,1.913e+01,2.120e+01,5.393e+01,9.427e+01
4.6,1.907e+01,2.147e+01,3.634e+02,4.040e+02
6.1,2.125e+01,2.188e+01,1.309e+03,1.353e+03
7.7,2.144e+01,2.163e+01,2.258e+03,2.301e+03
9.2,2.138e+01,2.197e+01,3.366e+03,3.409e+03
10.7,2.093e+01,2.400e+01,4.722e+03,4.767e+03
12.2,2.144e+01,2.262e+01,6.595e+03,6.640e+03
13.8,2.293e+01,2.262e+01,9.121e+03,9.167e+03
15.3,2.462e+01,2.048e+01,1.268e+04,1.272e+04
16.8,2.670e+01,2.208e+01,1.723e+04,1.727e+04
18.4,3.194e+01,2.275e+01,2.294e+04,2.300e+04
19.9,4.572e+01,2.420e+01,3.117e+04,3.124e+04
21.4,6.768e+01,3.017e+01,4.362e+04,4.372e+04
23.0,7.431e+01,4.135e+01,5.485e+04,5.496e+04
24.5,6.764e+01,5.239e+01,5.396e+04,5.408e+04
26.0,6.749e+01,5.014e+01,5.120e+04,5.131e+04
27.5,6.622e+01,5.630e+01,6.422e+04,6.434e+04
29.1,9.864e+01,1.067e+02,1.048e+05,1.050e+05
30.6,2.098e+02,2.866e+02,1.887e+05,1.892e+05
32.1,3.205e+02,4.934e+02,2.333e+05,2.341e+05
33.7,3.958e+02,7.195e+02,2.575e+05,2.587e+05
35.2,7.260e+02,1.854e+03,4.789e+05,4.815e+05
36.7,1.819e+03,5.382e+03,1.096e+06,1.103e+06
38.3,4.136e+03,1.201e+04,2.057e+06,2.074e+06
39.8,5.581e+03,1.602e+04,2.398e+06,2.420e+06
41.3,5.377e+03,1.471e+04,1.975e+06,1.995e+06
42.9,4.798e+03,1.202e+04,1.461e+06,1.478e+06
44.4,4.303e+03,9.765e+03,1.085e+06,1.099e+06
45.9,4.220e+03,9.113e+03,8.834e+05,8.968e+05
47.4,4.216e+03,9.593e+03,7.573e+05,7.711e+05
49.0,3.986e+03,9.852e+03,6.404e+05,6.543e+05
50.5,3.918e+03,9.506e+03,5.591e+05,5.725e+05
52.0,4.241e+03,9.274e+03,5.064e+05,5.199e+05
53.6,5.269e+03,1.016e+04,4.959e+05,5.113e+05
55.1,6.388e+03,1.076e+04,4.706e+05,4.877e+05
56.6,9.677e+03,1.752e+04,5.039e+05,5.311e+05
58.2,1.466e+04,3.283e+04,5.296e+05,5.771e+05
59.7,2.294e+04,4.850e+04,5.435e+05,6.149e+05
61.2,4.001e+04,6.135e+04,5.644e+05,6.657e+05
62.8,6.101e+04,6.492e+04,4.864e+05,6.123e+05
64.3,5.998e+04,5.013e+04,3.077e+05,4.179e+05
65.8,4.027e+04,3.653e+04,1.718e+05,2.486e+05
67.3,2.143e+04,2.464e+04,9.408e+04,1.402e+05
68.9,1.333e+04,1.859e+04,5.720e+04,8.913e+04
70.4,6.529e+03,1.494e+04,3.751e+04,5.898e+04
71.9,2.614e+03,1.380e+04,2.802e+04,4.444e+04
73.5,1.167e+03,1.661e+04,2.474e+04,4.252e+04
75.0,1.336e+03,2.619e+04,2.829e+04,5.581e+04
76.5,2.100e+03,3.646e+04,3.302e+04,7.158e+04
78.1,3.360e+03,6.398e+04,4.807e+04,1.154e+05
79.6,6.033e+03,1.247e+05,7.114e+04,2.019e+05
81.1,1.044e+04,2.097e+05,9.686e+04,3.170e+05
82.6,1.105e+04,2.503e+05,1.038e+05,3.652e+05
84.2,8.610e+03,2.549e+05,1.034e+05,3.669e+05
85.7,5.067e+03,2.341e+05,9.058e+04,3.297e+05
87.2,2.060e+03,1.810e+05,6.237e+04,2.454e+05
88.8,9.721e+02,1.229e+05,3.887e+04,1.627e+05
90.3,1.347e+03,1.022e+05,2.722e+04,1.308e+05
91.8,1.725e+03,7.467e+04,1.639e+04,9.278e+04
93.4,8.612e+02,5.924e+04,1.245e+04,7.254e+04
94.9,4.612e+02,5.619e+04,8.929e+03,6.558e+04
96.4,3.780e+02,5.188e+04,6.541e+03,5.880e+04
98.0,3.872e+02,4.136e+04,4.266e+03,4.602e+04
99.5,6.495e+02,4.006e+04,3.293e+03,4.400e+04
101.0,9.993e+02,3.468e+04,2.556e+03,3.823e+04
102.5,1.102e+03,3.134e+04,2.286e+03,3.473e+04
104.1,1.157e+03,2.825e+04,2.724e+03,3.213e+04
105.6,1.117e+03,2.552e+04,4.242e+03,3.088e+04
107.1,7.968e+02,2.426e+04,7.236e+03,3.229e+04
108.7,6.415e+02,2.297e+04,1.232e+04,3.593e+04
110.2,6.485e+02,1.896e+04,1.662e+04,3.622e+04
111.7,5.530e+02,1.380e+04,1.743e+04,3.179e+04
113.3,6.725e+02,1.091e+04,1.769e+04,2.927e+04
114.8,7.975e+02,9.863e+03,1.852e+04,2.918e+04
116.3,9.005e+02,9.066e+03,1.746e+04,2.743e+04
117.9,1.118e+03,1.029e+04,1.850e+04,2.990e+04
119.4,1.332e+03,1.251e+04,2.059e+04,3.443e+04
120.9,1.356e+03,1.172e+04,1.774e+04,3.082e+04
122.4,1.380e+03,1.312e+04,1.766e+04,3.216e+04
124.0,1.553e+03,1.364e+04,1.604e+04,3.124e+04
125.5,1.841e+03,1.667e+04,1.680e+04,3.531e+04
127.0,2.147e+03,1.771e+04,1.603e+04,3.588e+04
128.6,2.632e+03,1.777e+04,1.509e+04,3.549e+04
130.1,3.507e+03,1.753e+04,1.373e+04,3.477e+04
131.6,4.384e+03,1.816e+04,1.236e+04,3.490e+04
133.2,3.250e+03,1.106e+04,7.182e+03,2.149e+04
134.7,1.323e+03,3.249e+03,2.168e+03,6.740e+03
136.2,1.250e+03,2.783e+03,1.732e+03,5.765e+03
137.7,1.094e+03,2.705e+03,1.569e+03,5.368e+03
139.3,8.851e+02,2.506e+03,1.246e+03,4.637e+03
140.8,9.109e+02,2.353e+03,1.034e+03,4.298e+03
142.3,8.730e+02,2.219e+03,8.577e+02,3.950e+03
143.9,7.332e+02,2.067e+03,7.409e+02,3.541e+03
145.4,5.880e+02,1.846e+03,6.637e+02,3.098e+03
146.9,4.978e+02,1.590e+03,5.503e+02,2.638e+03
148.5,7.028e+02,1.508e+03,4.159e+02,2.626e+03
150.0,1.175e+03,1.608e+03,3.211e+02,3.104e+03
151.5,1.619e+03,1.494e+03,3.062e+02,3.420e+03
153.1,1.912e+03,1.299e+03,3.339e+02,3.545e+03
154.6,2.495e+03,1.205e+03,3.567e+02,4.057e+03
156.1,3.545e+03,1.408e+03,3.879e+02,5.340e+03
157.6,6.912e+03,1.772e+03,5.173e+02,9.201e+03
159.2,1.141e+04,2.619e+03,6.993e+02,1.473e+04
160.7,1.532e+04,3.986e+03,9.915e+02,2.030e+04
162.2,1.956e+04,5.284e+03,1.472e+03,2.632e+04
163.8,2.302e+04,5.672e+03,1.797e+03,3.049e+04
165.3,2.507e+04,5.413e+03,1.934e+03,3.242e+04
166.8,2.685e+04,5.215e+03,2.229e+03,3.429e+04
168.4,2.342e+04,3.885e+03,2.519e+03,2.983e+04
169.9,2.452e+04,4.555e+03,3.020e+03,3.210e+04
171.4,3.041e+04,5.112e+03,4.444e+03,3.996e+04
173.0,3.072e+04,4.879e+03,5.542e+03,4.114e+04
174.5,2.436e+04,4.304e+03,5.401e+03,3.407e+04
176.0,1.959e+04,4.116e+03,5.379e+03,2.909e+04
177.5,1.439e+04,3.897e+03,4.609e+03,2.290e+04
179.1,9.810e+03,3.655e+03,3.921e+03,1.739e+04
180.6,1.025e+04,3.924e+03,4.883e+03,1.906e+04
182.1,8.921e+03,4.277e+03,5.397e+03,1.860e+04
183.7,8.628e+03,4.798e+03,6.545e+03,1.997e+04
185.2,1.254e+04,5.029e+03,7.268e+03,2.484e+04
186.7,3.323e+04,6.235e+03,7.922e+03,4.739e+04
