freq,psd_x,psd_y,psd_z,psd_xyz
0.0,5.924e+02,1.974e+01,2.251e+01,6.347e+02
1.5,3.618e+02,2.955e+01,3.690e+01,4.282e+02
3.1,3.485e+01,2.279e+01,3.182e+01,8.946e+01
4.6,3.139e+02,2.538e+01,3.374e+01,3.731e+02
6.1,1.157e+03,2.387e+01,3.469e+01,1.215e+03
7.7,1.944e+03,2.292e+01,3.176e+01,1.998e+03
9.2,2.826e+03,2.340e+01,3.218e+01,2.881e+03
10.7,3.860e+03,2.276e+01,3.299e+01,3.916e+03
12.2,5.114e+03,2.295e+01,3.432e+01,5.172e+03
13.8,6.673e+03,2.198e+01,3.785e+01,6.733e+03
15.3,8.903e+03,2.259e+01,3.390e+01,8.959e+03
16.8,1.200e+04,2.498e+01,2.974e+01,1.206e+04
18.4,1.473e+04,2.557e+01,3.180e+01,1.478e+04
19.9,1.613e+04,2.381e+01,3.463e+01,1.619e+04
21.4,1.922e+04,2.149e+01,3.530e+01,1.927e+04
23.0,2.492e+04,2.336e+01,3.999e+01,2.498e+04
24.5,2.902e+04,2.526e+01,3.958e+01,2.908e+04
26.0,2.868e+04,2.558e+01,4.173e+01,2.875e+04
27.6,3.176e+04,2.251e+01,5.129e+01,3.183e+04
29.1,4.012e+04,2.243e+01,6.725e+01,4.021e+04
30.6,5.089e+04,2.343e+01,8.792e+01,5.100e+04
32.1,6.232e+04,2.136e+01,8.846e+01,6.243e+04
33.7,7.657e+04,2.216e+01,6.504e+01,7.666e+04
35.2,9.471e+04,2.461e+01,5.203e+01,9.479e+04
36.7,1.183e+05,2.896e+01,9.944e+01,1.184e+05
38.3,1.489e+05,4.047e+01,3.879e+02,1.494e+05
39.8,1.905e+05,7.337e+01,1.198e+03,1.917e+05
41.3,2.503e+05,1.328e+02,3.330e+03,2.538e+05
42.9,3.398e+05,1.761e+02,6.425e+03,3.464e+05
44.4,4.534e+05,2.207e+02,8.291e+03,4.619e+05
45.9,5.769e+05,3.314e+02,8.444e+03,5.857e+05
47.4,7.345e+05,4.976e+02,8.086e+03,7.431e+05
49.0,9.538e+05,5.228e+02,7.845e+03,9.621e+05
50.5,1.367e+06,4.379e+02,7.983e+03,1.375e+06
52.0,1.899e+06,3.583e+02,1.683e+04,1.917e+06
53.6,1.977e+06,2.373e+02,3.545e+04,2.013e+06
55.1,1.598e+06,7.613e+02,5.382e+04,1.652e+06
56.6,1.209e+06,3.228e+03,6.610e+04,1.278e+06
58.2,9.329e+05,7.318e+03,6.862e+04,1.009e+06
59.7,7.121e+05,1.099e+04,7.358e+04,7.966e+05
61.2,5.581e+05,1.205e+04,6.607e+04,6.362e+05
62.8,4.315e+05,1.196e+04,4.843e+04,4.919e+05
64.3,3.147e+05,1.048e+04,3.282e+04,3.580e+05
65.8,2.585e+05,9.426e+03,2.324e+04,2.911e+05
67.3,2.259e+05,8.566e+03,1.583e+04,2.503e+05
68.9,1.761e+05,7.211e+03,1.025e+04,1.936e+05
70.4,1.266e+05,7.066e+03,7.925e+03,1.416e+05
71.9,9.041e+04,7.815e+03,7.891e+03,1.061e+05
73.5,7.126e+04,8.485e+03,7.349e+03,8.710e+04
75.0,5.140e+04,9.683e+03,7.365e+03,6.845e+04
76.5,4.147e+04,9.451e+03,7.775e+03,5.869e+04
78.1,3.892e+04,1.310e+04,1.155e+04,6.357e+04
79.6,3.771e+04,2.358e+04,1.605e+04,7.733e+04
81.1,2.985e+04,3.350e+04,1.705e+04,8.040e+04
82.7,3.141e+04,5.276e+04,2.280e+04,1.070e+05
84.2,7.872e+04,8.117e+04,3.769e+04,1.976e+05
85.7,1.560e+05,8.250e+04,4.357e+04,2.821e+05
87.2,1.939e+05,6.311e+04,3.627e+04,2.933e+05
88.8,2.012e+05,5.440e+04,2.819e+04,2.838e+05
90.3,1.857e+05,4.718e+04,2.283e+04,2.557e+05
91.8,1.607e+05,3.338e+04,1.540e+04,2.094e+05
93.4,1.410e+05,2.098e+04,8.168e+03,1.702e+05
94.9,1.250e+05,1.342e+04,3.819e+03,1.423e+05
96.4,1.107e+05,1.071e+04,2.020e+03,1.234e+05
98.0,9.506e+04,9.877e+03,1.348e+03,1.063e+05
99.5,8.339e+04,1.024e+04,1.190e+03,9.482e+04
101.0,7.212e+04,1.121e+04,1.249e+03,8.458e+04
102.6,5.964e+04,1.278e+04,1.502e+03,7.392e+04
104.1,5.470e+04,1.468e+04,1.954e+03,7.133e+04
105.6,6.629e+04,1.768e+04,2.163e+03,8.614e+04
107.1,9.002e+04,2.074e+04,2.406e+03,1.132e+05
108.7,1.169e+05,1.974e+04,2.419e+03,1.390e+05
110.2,1.376e+05,1.550e+04,2.158e+03,1.552e+05
111.7,1.447e+05,1.279e+04,2.205e+03,1.597e+05
113.3,1.457e+05,1.109e+04,2.381e+03,1.592e+05
114.8,1.538e+05,1.015e+04,2.539e+03,1.665e+05
116.3,1.570e+05,1.049e+04,2.941e+03,1.705e+05
117.9,1.554e+05,1.178e+04,3.111e+03,1.702e+05
119.4,1.560e+05,1.089e+04,2.850e+03,1.697e+05
120.9,1.522e+05,1.099e+04,2.660e+03,1.659e+05
122.5,1.435e+05,1.177e+04,2.452e+03,1.577e+05
124.0,1.350e+05,1.310e+04,2.314e+03,1.504e+05
125.5,1.241e+05,1.425e+04,2.164e+03,1.405e+05
127.0,1.171e+05,1.364e+04,1.755e+03,1.325e+05
128.6,1.136e+05,1.371e+04,1.438e+03,1.287e+05
130.1,9.945e+04,1.442e+04,1.339e+03,1.152e+05
131.6,7.925e+04,1.522e+04,1.346e+03,9.581e+04
133.2,3.833e+04,1.349e+04,9.111e+02,5.274e+04
134.7,9.422e+03,1.317e+04,8.241e+02,2.342e+04
136.2,6.381e+03,1.501e+04,9.249e+02,2.232e+04
137.8,7.855e+03,1.706e+04,9.149e+02,2.583e+04
139.3,9.856e+03,1.609e+04,7.606e+02,2.671e+04
140.8,1.101e+04,1.515e+04,7.084e+02,2.687e+04
142.3,1.185e+04,1.391e+04,6.917e+02,2.645e+04
143.9,1.364e+04,1.236e+04,6.136e+02,2.661e+04
145.4,2.303e+04,1.110e+04,9.745e+02,3.510e+04
146.9,2.701e+04,1.032e+04,1.420e+03,3.875e+04
148.5,3.217e+04,9.525e+03,1.692e+03,4.339e+04
150.0,5.359e+04,1.019e+04,3.060e+03,6.684e+04
151.5,5.852e+04,9.246e+03,3.721e+03,7.149e+04
153.1,5.678e+04,8.987e+03,4.203e+03,6.997e+04
154.6,6.664e+04,1.115e+04,5.359e+03,8.315e+04
156.1,7.035e+04,1.386e+04,6.124e+03,9.033e+04
157.7,6.778e+04,1.951e+04,7.629e+03,9.492e+04
159.2,5.495e+04,2.525e+04,8.584e+03,8.879e+04
160.7,4.418e+04,2.442e+04,7.903e+03,7.650e+04
162.2,4.830e+04,2.119e+04,7.360e+03,7.685e+04
163.8,3.776e+04,2.004e+04,5.796e+03,6.359e+04
165.3,2.162e+04,1.740e+04,4.399e+03,4.342e+04
166.8,1.355e+04,1.392e+04,3.375e+03,3.084e+04
168.4,1.099e+04,9.457e+03,2.327e+03,2.277e+04
169.9,9.771e+03,5.512e+03,1.423e+03,1.671e+04
171.4,9.122e+03,3.774e+03,9.588e+02,1.385e+04
173.0,8.645e+03,3.200e+03,7.338e+02,1.258e+04
174.5,8.349e+03,2.545e+03,7.036e+02,1.160e+04
176.0,8.898e+03,2.451e+03,7.028e+02,1.205e+04
177.6,1.061e+04,3.208e+03,7.667e+02,1.458e+04
179.1,1.132e+04,3.486e+03,8.294e+02,1.563e+04
180.6,1.119e+04,3.444e+03,9.349e+02,1.557e+04
182.1,1.081e+04,3.423e+03,1.007e+03,1.524e+04
183.7,1.106e+04,3.348e+03,9.660e+02,1.538e+04
185.2,1.164e+04,3.005e+03,8.597e+02,1.550e+04
186.7,1.231e+04,2.665e+03,7.729e+02,1.575e+04
188.3,1.297e+04,2.214e+03,6.738e+02,1.585e+04
189.8,1.373e+04,1.738e+03,5.533e+02,1.602e+04
191.3,1.495e+04,1.452e+03,4.843e+02,1.688e+04
192.9,1.614e+04,1.239e+03,4.499e+02,1.783e+04
194.4,1.748e+04,1.124e+03,4.426e+02,1.905e+04
195.9,1.793e+04,1.049e+03,4.637e+02,1.945e+04
197.5,1.815e+04,1.106e+03,5.714e+02,1.983e+04
199.0,1.880e+04,1.063e+03,6.598e+02,2.052e+04
