freq,psd_x,psd_y,psd_z,psd_xyz
0.0,8.272e+01,4.134e+01,7.258e+02,8.498e+02
1.6,6.053e+01,5.222e+01,4.231e+02,5.359e+02
3.1,1.989e+01,3.741e+01,4.124e+01,9.854e+01
4.7,2.068e+01,3.656e+01,4.205e+02,4.777e+02
6.3,2.396e+01,3.521e+01,1.395e+03,1.454e+03
7.9,2.254e+01,3.997e+01,2.312e+03,2.375e+03
9.4,2.196e+01,4.168e+01,3.465e+03,3.528e+03
11.0,2.128e+01,4.021e+01,4.995e+03,5.057e+03
12.6,2.289e+01,4.340e+01,7.159e+03,7.226e+03
14.1,2.295e+01,5.279e+01,9.861e+03,9.937e+03
15.7,2.066e+01,5.666e+01,1.311e+04,1.319e+04
17.3,2.066e+01,6.471e+01,1.754e+04,1.762e+04
18.9,2.564e+01,8.166e+01,2.373e+04,2.384e+04
20.4,5.647e+01,1.143e+02,3.222e+04,3.239e+04
22.0,1.282e+02,1.682e+02,4.465e+04,4.495e+04
23.6,1.974e+02,2.502e+02,6.348e+04,6.393e+04
25.1,1.984e+02,3.601e+02,8.675e+04,8.731e+04
26.7,2.201e+02,4.131e+02,9.548e+04,9.612e+04
28.3,4.210e+02,5.570e+02,1.094e+05,1.104e+05
29.8,1.242e+03,1.231e+03,2.071e+05,2.096e+05
31.4,2.136e+03,2.253e+03,3.424e+05,3.468e+05
33.0,1.814e+03,2.227e+03,3.183e+05,3.223e+05
34.6,2.154e+03,2.539e+03,3.282e+05,3.329e+05
36.1,6.260e+03,4.973e+03,5.803e+05,5.915e+05
37.7,1.356e+04,1.003e+04,1.153e+06,1.176e+06
39.3,2.286e+04,1.473e+04,1.734e+06,1.771e+06
40.8,3.239e+04,1.530e+04,1.815e+06,1.863e+06
42.4,4.241e+04,1.205e+04,1.452e+06,1.506e+06
44.0,5.164e+04,8.561e+03,1.124e+06,1.184e+06
45.6,6.684e+04,6.116e+03,8.906e+05,9.635e+05
47.1,1.094e+05,5.754e+03,7.118e+05,8.269e+05
48.7,1.656e+05,9.566e+03,6.003e+05,7.755e+05
50.3,2.388e+05,1.707e+04,5.238e+05,7.797e+05
51.8,2.991e+05,2.482e+04,4.287e+05,7.527e+05
53.4,1.939e+05,3.351e+04,3.184e+05,5.458e+05
55.0,7.998e+04,4.509e+04,2.401e+05,3.651e+05
56.6,3.608e+04,5.091e+04,1.924e+05,2.794e+05
58.1,1.804e+04,4.723e+04,1.804e+05,2.457e+05
59.7,1.282e+04,3.915e+04,1.637e+05,2.157e+05
61.3,9.777e+03,3.449e+04,1.377e+05,1.820e+05
62.8,7.220e+03,3.177e+04,1.133e+05,1.523e+05
64.4,6.103e+03,2.788e+04,8.889e+04,1.229e+05
66.0,6.484e+03,2.400e+04,6.994e+04,1.004e+05
67.5,5.124e+03,2.067e+04,5.825e+04,8.405e+04
69.1,3.096e+03,1.873e+04,4.909e+04,7.092e+04
70.7,2.247e+03,2.038e+04,4.502e+04,6.765e+04
72.3,2.330e+03,2.404e+04,4.476e+04,7.114e+04
73.8,2.821e+03,2.862e+04,4.673e+04,7.818e+04
75.4,2.883e+03,3.462e+04,5.030e+04,8.780e+04
77.0,2.418e+03,4.240e+04,5.503e+04,9.986e+04
78.5,4.601e+03,4.767e+04,5.536e+04,1.076e+05
80.1,8.545e+03,5.698e+04,5.792e+04,1.234e+05
81.7,1.486e+04,7.790e+04,6.927e+04,1.620e+05
83.3,2.384e+04,1.171e+05,9.091e+04,2.318e+05
84.8,2.471e+04,1.754e+05,1.173e+05,3.174e+05
86.4,1.788e+04,2.331e+05,1.377e+05,3.886e+05
88.0,1.554e+04,2.478e+05,1.377e+05,4.010e+05
89.5,1.896e+04,2.205e+05,1.182e+05,3.577e+05
91.1,2.403e+04,1.778e+05,9.275e+04,2.946e+05
92.7,2.563e+04,1.340e+05,6.988e+04,2.295e+05
94.3,3.352e+04,9.799e+04,5.561e+04,1.871e+05
95.8,4.671e+04,7.095e+04,4.636e+04,1.640e+05
97.4,5.382e+04,5.583e+04,3.893e+04,1.486e+05
99.0,6.393e+04,4.444e+04,3.566e+04,1.440e+05
100.5,8.669e+04,3.562e+04,3.602e+04,1.583e+05
102.1,1.278e+05,3.154e+04,3.890e+04,1.982e+05
103.7,1.906e+05,2.917e+04,4.483e+04,2.646e+05
105.3,2.486e+05,1.929e+04,4.710e+04,3.150e+05
106.8,2.815e+05,1.228e+04,4.326e+04,3.371e+05
108.4,2.413e+05,1.154e+04,3.896e+04,2.918e+05
110.0,2.298e+05,1.317e+04,4.454e+04,2.875e+05
111.5,2.164e+05,1.251e+04,4.879e+04,2.777e+05
113.1,2.003e+05,1.337e+04,5.096e+04,2.646e+05
114.7,2.258e+05,1.340e+04,5.669e+04,2.959e+05
116.2,2.332e+05,1.499e+04,5.888e+04,3.071e+05
117.8,2.236e+05,1.941e+04,5.940e+04,3.024e+05
119.4,2.018e+05,2.452e+04,5.682e+04,2.831e+05
121.0,1.600e+05,2.874e+04,5.168e+04,2.404e+05
122.5,1.253e+05,2.873e+04,4.661e+04,2.007e+05
124.1,1.019e+05,3.605e+04,4.601e+04,1.839e+05
125.7,8.335e+04,4.509e+04,4.362e+04,1.721e+05
127.2,6.829e+04,5.417e+04,4.103e+04,1.635e+05
128.8,5.409e+04,5.978e+04,3.707e+04,1.509e+05
130.4,4.288e+04,5.523e+04,3.120e+04,1.293e+05
132.0,3.110e+04,4.590e+04,2.359e+04,1.006e+05
133.5,1.749e+04,1.743e+04,8.898e+03,4.382e+04
135.1,1.073e+04,2.260e+03,1.905e+03,1.489e+04
136.7,8.695e+03,1.489e+03,1.465e+03,1.165e+04
138.2,8.507e+03,1.766e+03,1.232e+03,1.151e+04
139.8,8.730e+03,2.223e+03,1.276e+03,1.223e+04
141.4,8.459e+03,2.699e+03,1.217e+03,1.237e+04
143.0,9.331e+03,3.469e+03,1.144e+03,1.394e+04
144.5,8.377e+03,3.969e+03,1.045e+03,1.339e+04
146.1,8.125e+03,4.318e+03,9.857e+02,1.343e+04
147.7,1.024e+04,5.031e+03,1.015e+03,1.629e+04
149.2,1.504e+04,5.522e+03,1.189e+03,2.175e+04
150.8,2.113e+04,6.667e+03,1.524e+03,2.932e+04
152.4,2.625e+04,7.216e+03,2.159e+03,3.563e+04
153.9,3.395e+04,6.034e+03,3.607e+03,4.360e+04
155.5,4.049e+04,4.657e+03,5.816e+03,5.097e+04
157.1,4.480e+04,4.983e+03,7.110e+03,5.689e+04
158.7,4.673e+04,4.261e+03,6.307e+03,5.730e+04
160.2,4.948e+04,3.057e+03,5.502e+03,5.804e+04
161.8,4.410e+04,2.520e+03,4.541e+03,5.116e+04
163.4,2.501e+04,2.152e+03,2.765e+03,2.992e+04
164.9,2.091e+04,2.133e+03,2.108e+03,2.515e+04
166.5,1.763e+04,2.219e+03,1.760e+03,2.161e+04
168.1,1.478e+04,2.397e+03,1.445e+03,1.862e+04
169.7,1.262e+04,2.355e+03,1.200e+03,1.618e+04
171.2,1.107e+04,2.424e+03,1.055e+03,1.455e+04
172.8,9.839e+03,2.394e+03,1.026e+03,1.326e+04
174.4,1.085e+04,2.247e+03,1.025e+03,1.412e+04
175.9,1.136e+04,2.063e+03,1.044e+03,1.447e+04
177.5,1.007e+04,1.792e+03,1.077e+03,1.294e+04
179.1,9.104e+03,1.746e+03,1.220e+03,1.207e+04
180.7,9.352e+03,2.050e+03,1.790e+03,1.319e+04
182.2,9.014e+03,1.804e+03,1.833e+03,1.265e+04
183.8,8.416e+03,1.424e+03,1.492e+03,1.133e+04
185.4,9.294e+03,1.382e+03,1.564e+03,1.224e+04
186.9,1.039e+04,1.344e+03,1.698e+03,1.344e+04
188.5,1.119e+04,1.223e+03,1.732e+03,1.414e+04
190.1,1.152e+04,9.554e+02,1.878e+03,1.435e+04
191.7,1.180e+04,7.078e+02,2.028e+03,1.454e+04
193.2,1.304e+04,6.159e+02,2.118e+03,1.577e+04
194.8,1.270e+04,5.911e+02,2.072e+03,1.537e+04
196.4,1.350e+04,5.924e+02,1.900e+03,1.599e+04
197.9,1.262e+04,6.343e+02,1.748e+03,1.500e+04
199.5,1.124e+04,6.980e+02,1.646e+03,1.358e+04
