freq,psd_x,psd_y,psd_z,psd_xyz
0.0,8.306e+02,7.416e+01,5.006e+01,9.548e+02
1.5,6.213e+02,3.024e+02,8.932e+01,1.013e+03
3.1,2.034e+02,2.922e+02,6.937e+01,5.650e+02
4.6,5.367e+02,2.903e+02,6.066e+01,8.877e+02
6.2,1.476e+03,3.659e+02,6.022e+01,1.902e+03
7.7,2.315e+03,3.235e+02,5.750e+01,2.696e+03
9.3,3.297e+03,2.915e+02,5.775e+01,3.647e+03
10.8,4.483e+03,3.105e+02,6.072e+01,4.855e+03
12.4,6.019e+03,2.892e+02,6.643e+01,6.375e+03
13.9,8.030e+03,3.114e+02,6.477e+01,8.406e+03
15.5,1.054e+04,3.268e+02,5.979e+01,1.093e+04
17.0,1.377e+04,3.046e+02,7.219e+01,1.415e+04
18.5,1.671e+04,2.772e+02,7.689e+01,1.706e+04
20.1,1.903e+04,2.591e+02,8.027e+01,1.937e+04
21.6,2.421e+04,2.964e+02,6.742e+01,2.457e+04
23.2,3.191e+04,3.405e+02,6.347e+01,3.231e+04
24.7,3.598e+04,2.966e+02,7.700e+01,3.635e+04
26.3,3.424e+04,2.728e+02,7.999e+01,3.459e+04
27.8,3.728e+04,3.646e+02,7.693e+01,3.772e+04
29.4,4.675e+04,3.415e+02,7.542e+01,4.716e+04
30.9,6.072e+04,2.833e+02,7.447e+01,6.108e+04
32.4,7.809e+04,2.573e+02,9.083e+01,7.843e+04
34.0,1.010e+05,2.574e+02,1.434e+02,1.014e+05
35.5,1.294e+05,2.695e+02,2.967e+02,1.299e+05
37.1,1.684e+05,2.847e+02,5.103e+02,1.692e+05
38.6,2.215e+05,2.782e+02,7.663e+02,2.226e+05
40.2,2.887e+05,2.876e+02,1.050e+03,2.901e+05
41.7,3.947e+05,3.034e+02,2.658e+03,3.977e+05
43.3,5.542e+05,3.400e+02,1.099e+04,5.655e+05
44.8,7.862e+05,4.837e+02,2.951e+04,8.162e+05
46.4,1.106e+06,5.786e+02,4.799e+04,1.155e+06
47.9,1.586e+06,5.096e+02,6.559e+04,1.652e+06
49.4,2.337e+06,8.907e+02,8.089e+04,2.419e+06
51.0,2.950e+06,1.893e+03,8.486e+04,3.037e+06
52.5,2.653e+06,2.002e+03,6.863e+04,2.724e+06
54.1,1.971e+06,1.581e+03,5.597e+04,2.029e+06
55.6,1.335e+06,1.773e+03,5.018e+04,1.387e+06
57.2,9.141e+05,1.833e+03,3.922e+04,9.552e+05
58.7,6.579e+05,1.785e+03,2.550e+04,6.852e+05
60.3,4.816e+05,1.672e+03,1.696e+04,5.002e+05
61.8,3.694e+05,1.446e+03,9.564e+03,3.805e+05
63.4,2.735e+05,1.454e+03,5.597e+03,2.805e+05
64.9,1.966e+05,1.349e+03,5.238e+03,2.032e+05
66.4,1.561e+05,1.832e+03,4.522e+03,1.624e+05
68.0,1.174e+05,2.303e+03,2.762e+03,1.224e+05
69.5,9.068e+04,2.538e+03,1.736e+03,9.495e+04
71.1,6.656e+04,2.499e+03,1.300e+03,7.036e+04
72.6,5.009e+04,2.451e+03,1.321e+03,5.387e+04
74.2,4.009e+04,2.762e+03,1.652e+03,4.450e+04
75.7,3.076e+04,2.696e+03,1.580e+03,3.503e+04
77.3,2.228e+04,2.838e+03,1.423e+03,2.654e+04
78.8,1.535e+04,2.626e+03,1.621e+03,1.959e+04
80.3,1.224e+04,2.029e+03,1.619e+03,1.588e+04
81.9,1.242e+04,1.634e+03,1.414e+03,1.547e+04
83.4,1.760e+04,1.970e+03,1.332e+03,2.091e+04
85.0,3.224e+04,3.503e+03,1.868e+03,3.761e+04
86.5,4.730e+04,6.363e+03,3.608e+03,5.727e+04
88.1,5.660e+04,1.178e+04,7.344e+03,7.572e+04
89.6,5.717e+04,1.874e+04,1.272e+04,8.863e+04
91.2,3.894e+04,2.333e+04,1.761e+04,7.988e+04
92.7,2.372e+04,2.524e+04,2.101e+04,6.997e+04
94.3,1.442e+04,2.674e+04,2.391e+04,6.507e+04
95.8,9.443e+03,2.901e+04,2.749e+04,6.594e+04
97.3,7.892e+03,3.044e+04,3.172e+04,7.005e+04
98.9,1.260e+04,2.909e+04,3.502e+04,7.671e+04
100.4,2.663e+04,2.738e+04,3.929e+04,9.330e+04
102.0,5.149e+04,2.713e+04,4.431e+04,1.229e+05
103.5,1.265e+05,3.162e+04,5.405e+04,2.122e+05
105.1,2.018e+05,3.681e+04,6.232e+04,3.010e+05
106.6,1.928e+05,3.866e+04,6.695e+04,2.984e+05
108.2,2.664e+05,3.849e+04,7.845e+04,3.834e+05
109.7,3.664e+05,3.626e+04,8.686e+04,4.895e+05
111.2,4.698e+05,3.232e+04,9.012e+04,5.923e+05
112.8,6.394e+05,3.285e+04,9.998e+04,7.722e+05
114.3,8.233e+05,3.048e+04,1.090e+05,9.628e+05
115.9,1.050e+06,2.598e+04,1.236e+05,1.199e+06
117.4,1.303e+06,1.858e+04,1.277e+05,1.449e+06
119.0,1.592e+06,1.312e+04,1.180e+05,1.724e+06
120.5,1.904e+06,1.400e+04,1.018e+05,2.020e+06
122.1,2.020e+06,1.672e+04,8.296e+04,2.119e+06
123.6,1.892e+06,1.895e+04,6.231e+04,1.973e+06
125.2,1.586e+06,2.105e+04,4.542e+04,1.652e+06
126.7,1.300e+06,2.451e+04,3.253e+04,1.357e+06
128.2,1.087e+06,3.225e+04,2.522e+04,1.144e+06
129.8,9.607e+05,4.229e+04,2.024e+04,1.023e+06
131.3,8.245e+05,4.983e+04,1.723e+04,8.915e+05
132.9,4.019e+05,3.408e+04,9.110e+03,4.451e+05
134.4,4.791e+04,1.370e+04,2.450e+03,6.406e+04
136.0,1.793e+04,1.310e+04,2.259e+03,3.329e+04
137.5,1.490e+04,1.681e+04,2.994e+03,3.470e+04
139.1,1.116e+04,2.173e+04,3.968e+03,3.686e+04
140.6,7.426e+03,2.513e+04,4.896e+03,3.745e+04
142.2,6.149e+03,2.780e+04,5.592e+03,3.954e+04
143.7,7.852e+03,3.042e+04,6.116e+03,4.439e+04
145.2,1.028e+04,3.288e+04,6.906e+03,5.007e+04
146.8,1.243e+04,3.448e+04,8.098e+03,5.501e+04
148.3,1.320e+04,3.432e+04,9.469e+03,5.699e+04
149.9,1.219e+04,3.507e+04,1.147e+04,5.874e+04
151.4,1.008e+04,3.731e+04,1.334e+04,6.074e+04
153.0,8.145e+03,3.921e+04,1.430e+04,6.166e+04
154.5,4.715e+03,3.839e+04,1.495e+04,5.806e+04
156.1,1.851e+03,3.778e+04,1.762e+04,5.725e+04
157.6,1.323e+03,3.474e+04,1.793e+04,5.399e+04
159.1,1.319e+03,3.128e+04,1.751e+04,5.010e+04
160.7,1.207e+03,2.638e+04,1.571e+04,4.329e+04
162.2,1.217e+03,2.251e+04,1.343e+04,3.716e+04
163.8,1.492e+03,1.854e+04,1.057e+04,3.060e+04
165.3,1.764e+03,1.504e+04,8.218e+03,2.502e+04
166.9,1.901e+03,1.300e+04,6.629e+03,2.153e+04
168.4,1.890e+03,1.172e+04,5.587e+03,1.920e+04
170.0,1.931e+03,1.131e+04,4.919e+03,1.816e+04
171.5,2.030e+03,1.150e+04,4.589e+03,1.812e+04
173.1,2.275e+03,1.019e+04,4.071e+03,1.654e+04
174.6,2.657e+03,8.616e+03,3.668e+03,1.494e+04
176.1,2.985e+03,7.903e+03,3.285e+03,1.417e+04
177.7,3.444e+03,7.600e+03,3.236e+03,1.428e+04
179.2,4.044e+03,7.226e+03,3.255e+03,1.453e+04
180.8,4.074e+03,6.403e+03,2.848e+03,1.332e+04
182.3,3.621e+03,5.668e+03,2.484e+03,1.177e+04
183.9,3.128e+03,4.843e+03,2.232e+03,1.020e+04
185.4,2.862e+03,4.598e+03,1.896e+03,9.356e+03
187.0,2.825e+03,4.974e+03,1.650e+03,9.448e+03
188.5,2.637e+03,4.885e+03,1.610e+03,9.132e+03
190.1,2.626e+03,4.684e+03,1.611e+03,8.921e+03
191.6,2.730e+03,4.573e+03,1.607e+03,8.911e+03
193.1,2.596e+03,3.504e+03,1.557e+03,7.658e+03
194.7,3.125e+03,3.523e+03,1.878e+03,8.525e+03
196.2,3.333e+03,3.726e+03,2.011e+03,9.069e+03
197.8,3.198e+03,3.312e+03,2.044e+03,8.553e+03
199.3,3.339e+03,3.044e+03,2.247e+03,8.630e+03
