freq,psd_x,psd_y,psd_z,psd_xyz
0.0,7.006e+01,5.116e+01,6.945e+02,8.157e+02
1.6,8.177e+01,5.950e+01,4.113e+02,5.526e+02
3.1,5.086e+01,4.004e+01,4.676e+01,1.377e+02
4.7,4.718e+01,3.638e+01,4.353e+02,5.189e+02
6.3,4.946e+01,3.631e+01,1.423e+03,1.509e+03
7.9,5.117e+01,3.901e+01,2.398e+03,2.488e+03
9.4,5.131e+01,3.983e+01,3.617e+03,3.708e+03
11.0,5.083e+01,4.285e+01,5.167e+03,5.261e+03
12.6,5.174e+01,4.712e+01,7.245e+03,7.344e+03
14.2,5.488e+01,5.010e+01,9.951e+03,1.006e+04
15.7,5.995e+01,6.241e+01,1.346e+04,1.359e+04
17.3,5.231e+01,8.136e+01,1.843e+04,1.856e+04
18.9,5.226e+01,1.030e+02,2.513e+04,2.529e+04
20.5,6.358e+01,1.328e+02,3.479e+04,3.499e+04
22.0,7.701e+01,2.040e+02,4.990e+04,5.018e+04
23.6,8.725e+01,3.559e+02,7.358e+04,7.402e+04
25.2,6.965e+01,5.716e+02,1.022e+05,1.029e+05
26.8,8.059e+01,6.878e+02,1.108e+05,1.116e+05
28.3,1.455e+02,9.157e+02,1.326e+05,1.336e+05
29.9,7.772e+02,2.510e+03,2.857e+05,2.890e+05
31.5,1.770e+03,4.692e+03,4.432e+05,4.497e+05
33.1,1.753e+03,4.672e+03,3.913e+05,3.977e+05
34.6,2.718e+03,5.855e+03,4.564e+05,4.650e+05
36.2,6.078e+03,1.205e+04,8.579e+05,8.760e+05
37.8,1.076e+04,2.171e+04,1.391e+06,1.423e+06
39.4,1.743e+04,2.727e+04,1.595e+06,1.639e+06
40.9,2.607e+04,2.607e+04,1.430e+06,1.482e+06
42.5,3.932e+04,2.110e+04,1.144e+06,1.204e+06
44.1,5.646e+04,1.600e+04,9.272e+05,9.997e+05
45.7,8.166e+04,1.195e+04,8.170e+05,9.106e+05
47.2,1.328e+05,9.428e+03,7.494e+05,8.916e+05
48.8,1.934e+05,1.111e+04,6.857e+05,8.903e+05
50.4,2.200e+05,1.470e+04,5.507e+05,7.855e+05
52.0,1.616e+05,1.605e+04,3.373e+05,5.150e+05
53.5,8.715e+04,1.767e+04,1.749e+05,2.797e+05
55.1,3.639e+04,1.886e+04,9.956e+04,1.548e+05
56.7,1.600e+04,2.280e+04,7.459e+04,1.134e+05
58.3,1.132e+04,2.795e+04,7.031e+04,1.096e+05
59.8,7.033e+03,3.073e+04,7.020e+04,1.080e+05
61.4,4.746e+03,3.941e+04,7.542e+04,1.196e+05
63.0,2.441e+03,4.809e+04,7.942e+04,1.299e+05
64.6,1.463e+03,4.726e+04,7.399e+04,1.227e+05
66.1,1.328e+03,3.974e+04,6.371e+04,1.048e+05
67.7,1.408e+03,3.278e+04,5.608e+04,9.027e+04
69.3,1.831e+03,3.012e+04,5.123e+04,8.318e+04
70.9,2.517e+03,3.124e+04,5.108e+04,8.484e+04
72.4,3.158e+03,3.084e+04,4.946e+04,8.345e+04
74.0,4.954e+03,3.433e+04,5.106e+04,9.034e+04
75.6,7.856e+03,4.597e+04,5.810e+04,1.119e+05
