freq,psd_x,psd_y,psd_z,psd_xyz
0.0,7.235e+02,4.208e+01,3.722e+01,8.028e+02
1.6,5.391e+02,9.777e+01,6.026e+01,6.971e+02
3.1,1.734e+02,1.056e+02,5.242e+01,3.315e+02
4.7,5.405e+02,1.056e+02,5.323e+01,6.993e+02
6.3,1.481e+03,1.160e+02,5.067e+01,1.648e+03
7.9,2.349e+03,1.069e+02,4.934e+01,2.505e+03
9.4,3.385e+03,8.940e+01,4.783e+01,3.522e+03
11.0,4.589e+03,8.971e+01,4.892e+01,4.727e+03
12.6,6.125e+03,9.965e+01,4.748e+01,6.272e+03
14.2,8.173e+03,1.020e+02,4.994e+01,8.325e+03
15.7,1.094e+04,9.972e+01,4.897e+01,1.109e+04
17.3,1.437e+04,1.021e+02,4.940e+01,1.452e+04
18.9,1.742e+04,9.468e+01,5.426e+01,1.757e+04
20.5,1.978e+04,9.251e+01,5.222e+01,1.993e+04
22.0,2.446e+04,1.015e+02,4.987e+01,2.461e+04
23.6,3.172e+04,1.117e+02,6.231e+01,3.190e+04
25.2,3.597e+04,1.129e+02,8.760e+01,3.617e+04
26.8,3.581e+04,1.110e+02,1.027e+02,3.602e+04
28.3,3.994e+04,9.225e+01,1.014e+02,4.013e+04
29.9,4.967e+04,9.711e+01,1.161e+02,4.989e+04
31.5,6.369e+04,1.092e+02,2.202e+02,6.402e+04
33.1,8.163e+04,1.190e+02,3.064e+02,8.206e+04
34.6,1.063e+05,1.332e+02,4.509e+02,1.069e+05
36.2,1.391e+05,1.497e+02,1.618e+03,1.409e+05
37.8,1.766e+05,2.030e+02,5.222e+03,1.821e+05
39.4,2.237e+05,2.770e+02,1.113e+04,2.351e+05
40.9,2.862e+05,3.329e+02,1.561e+04,3.022e+05
42.5,3.964e+05,3.050e+02,1.516e+04,4.119e+05
44.1,5.845e+05,1.873e+02,1.215e+04,5.969e+05
45.7,8.978e+05,1.788e+02,1.246e+04,9.105e+05
47.2,1.292e+06,3.540e+02,1.400e+04,1.306e+06
48.8,1.926e+06,1.071e+03,2.942e+04,1.957e+06
50.4,2.690e+06,3.002e+03,7.167e+04,2.765e+06
52.0,2.608e+06,4.781e+03,9.068e+04,2.704e+06
53.5,1.958e+06,6.900e+03,7.276e+04,2.037e+06
55.1,1.450e+06,7.715e+03,5.495e+04,1.513e+06
56.7,1.081e+06,7.228e+03,4.182e+04,1.130e+06
58.2,7.922e+05,7.134e+03,2.886e+04,8.282e+05
59.8,5.916e+05,7.439e+03,1.711e+04,6.161e+05
61.4,4.660e+05,8.104e+03,8.686e+03,4.828e+05
63.0,3.611e+05,8.037e+03,3.665e+03,3.728e+05
64.5,2.644e+05,7.641e+03,1.206e+03,2.733e+05
66.1,1.947e+05,9.637e+03,4.214e+02,2.048e+05
67.7,1.544e+05,1.509e+04,9.878e+02,1.705e+05
69.3,1.297e+05,1.520e+04,1.795e+03,1.467e+05
70.8,9.499e+04,1.396e+04,2.414e+03,1.114e+05
72.4,6.610e+04,1.566e+04,3.887e+03,8.564e+04
74.0,4.757e+04,1.628e+04,5.113e+03,6.897e+04
75.6,3.689e+04,1.784e+04,5.321e+03,6.005e+04
77.1,2.915e+04,2.572e+04,6.950e+03,6.182e+04
78.7,2.202e+04,3.287e+04,9.743e+03,6.464e+04
80.3,2.384e+04,5.361e+04,1.583e+04,9.328e+04
81.9,5.277e+04,1.022e+05,3.107e+04,1.861e+05
83.4,1.098e+05,1.228e+05,3.991e+04,2.726e+05
85.0,1.386e+05,9.878e+04,3.426e+04,2.716e+05
86.6,1.258e+05,5.677e+04,2.191e+04,2.045e+05
88.2,1.272e+05,3.561e+04,1.484e+04,1.776e+05
89.7,1.324e+05,2.770e+04,1.060e+04,1.707e+05
91.3,9.640e+04,2.500e+04,9.588e+03,1.310e+05
92.9,5.723e+04,2.832e+04,1.274e+04,9.830e+04
94.5,4.730e+04,3.375e+04,1.964e+04,1.007e+05
96.0,7.059e+04,3.319e+04,2.254e+04,1.263e+05
97.6,8.649e+04,2.918e+04,2.014e+04,1.358e+05
99.2,9.514e+04,2.170e+04,1.690e+04,1.337e+05
100.8,1.036e+05,1.657e+04,1.720e+04,1.373e+05
102.3,1.064e+05,1.589e+04,1.981e+04,1.421e+05
103.9,1.029e+05,1.658e+04,1.737e+04,1.369e+05
105.5,1.072e+05,1.978e+04,1.605e+04,1.430e+05
107.1,1.093e+05,2.450e+04,1.779e+04,1.516e+05
108.6,1.172e+05,2.520e+04,1.880e+04,1.612e+05
110.2,1.257e+05,2.567e+04,1.732e+04,1.687e+05
111.8,1.101e+05,2.680e+04,1.821e+04,1.551e+05
113.3,1.019e+05,2.795e+04,2.272e+04,1.525e+05
114.9,1.304e+05,2.968e+04,2.863e+04,1.887e+05
116.5,2.006e+05,3.191e+04,3.281e+04,2.654e+05
118.1,3.093e+05,3.663e+04,3.761e+04,3.835e+05
119.6,3.686e+05,4.121e+04,3.969e+04,4.495e+05
121.2,4.039e+05,4.670e+04,3.979e+04,4.904e+05
